data,horario,tbs,umidade,globo metalico,globo plastico,itgu,itu,orvalho
2021-02-22,00:00:01,24.28,83.28,23.25,24.0,72.40440380379069,73.15440380379069,74.03,21.262232788307465
2021-02-22,00:10:00,24.39,82.75,23.25,24.0,72.4056172626167,73.1556172626167,74.2,21.265603507268622
2021-02-22,00:20:00,24.55,81.88,23.38,24.0,72.52979439811222,73.1497943981122,74.37,21.249428883645024
2021-02-22,00:30:00,24.44,82.56,23.38,24.0,72.53970039293158,73.15970039293158,74.27,21.276945535921058
2021-02-22,00:40:00,24.29,83.13,23.31,24.0,72.45733963311338,73.14733963311338,74.08,21.242610091981586
2021-02-22,00:50:00,24.39,83.07,23.31,24.0,72.48828224573644,73.17828224573644,74.23,21.328561793712336
2021-02-22,01:00:00,24.31,83.23,23.25,24.0,72.41143487893117,73.16143487893117,74.12,21.28176355258662
2021-02-22,01:10:00,24.33,83.77,23.25,24.0,72.45646606348262,73.20646606348262,74.21,21.406850176340615
2021-02-22,01:20:00,24.1,84.41,23.12,23.5,72.29014195108735,72.67014195108734,73.88,21.30594986413153
2021-02-22,01:30:00,24.34,83.31,23.06,23.5,72.23763426579711,72.67763426579711,74.18,21.326761849436423
2021-02-22,01:40:00,24.51,82.79,23.19,23.5,72.39065336027947,72.70065336027947,74.41,21.390703778554094
2021-02-22,01:50:00,24.59,82.04,23.25,23.5,72.42530579971569,72.67530579971569,74.46,21.320293888099147
2021-02-22,02:00:00,23.9,84.42,23.31,23.5,72.41033430997322,72.60033430997322,73.57,21.112039749925625
2021-02-22,02:10:00,23.53,87.47,23.12,23.5,72.29791126638156,72.67791126638156,73.22,21.32753129550433
2021-02-22,02:20:00,23.89,85.91,22.94,23.5,72.1395105105405,72.6995105105405,73.69,21.387529195945852
2021-02-22,02:30:00,23.88,85.55,22.87,23.5,72.04130966267061,72.67130966267062,73.64,21.30919350741839
2021-02-22,02:40:00,24.16,84.28,22.94,23.5,72.12223767432965,72.68223767432966,73.98,21.339549095360134
2021-02-22,02:50:00,23.83,86.22,22.94,23.5,72.1394751270652,72.6994751270652,73.61,21.387430908514457
2021-02-22,03:00:00,23.91,85.56,22.87,23.0,72.05258921885942,72.18258921885942,73.69,21.340525607942833
2021-02-22,03:10:00,24.14,84.48,22.87,23.0,72.05911213587926,72.18911213587927,73.96,21.35864482188684
2021-02-22,03:20:00,23.75,86.35,22.81,23.0,71.99004892992673,72.18004892992673,73.5,21.333469249796487
2021-02-22,03:30:00,23.94,84.65,22.75,23.0,71.88039741513103,72.13039741513103,73.64,21.19554837536399
2021-02-22,03:40:00,23.89,84.9,22.75,23.0,71.88006644201766,72.13006644201766,73.59,21.194629005604614
2021-02-22,03:50:00,23.99,84.55,22.81,23.0,71.95109117222931,72.14109117222931,73.72,21.225253256192538
2021-02-22,04:00:00,24.05,84.18,22.87,23.0,72.00650124384099,72.13650124384098,73.79,21.212503455113843
2021-02-22,04:10:00,23.86,85.26,22.81,23.0,71.95431290967105,72.14431290967104,73.58,21.23420252686402
2021-02-22,04:20:00,23.8,85.78,22.81,23.0,71.968822915821,72.15882291582099,73.52,21.274508099502746
2021-02-22,04:30:00,23.77,85.62,22.81,23.0,71.94726839793239,72.1372683979324,73.47,21.21463443870111
2021-02-22,04:40:00,23.94,84.68,22.75,23.0,71.88247665668524,72.13247665668524,73.64,21.201324046347885
2021-02-22,04:50:00,23.47,87.75,22.62,23.0,71.79543426323428,72.17543426323428,73.16,21.320650731206342
2021-02-22,05:00:00,23.39,87.85,22.44,23.0,71.59378285772229,72.15378285772229,73.02,21.260507938117485
2021-02-22,05:10:00,23.16,89.43,22.31,22.5,71.48688424823328,71.67688424823328,72.78,21.32467846731467
2021-02-22,05:20:00,23.05,89.85,22.25,22.5,71.41533381321753,71.66533381321753,72.62,21.292593925604262
2021-02-22,05:30:00,23.2,89.18,22.19,22.5,71.36464182205165,71.67464182205165,72.81,21.318449505699025
2021-02-22,05:40:00,22.97,90.12,22.19,22.5,71.34452505615779,71.6545250561578,72.51,21.26256960043832
2021-02-22,05:50:00,23.35,90.21,22.37,22.5,71.66545038687917,71.79545038687917,73.16,21.65402885244212
2021-02-22,06:00:00,23.72,88.75,23.06,23.0,72.3907131711916,72.3307131711916,73.66,21.7519810310878
2021-02-22,06:10:00,23.82,87.91,23.69,24.0,73.0001374915741,73.3101374915741,73.75,21.694826365483586
2021-02-22,06:20:00,23.92,87.67,24.12,24.0,73.44945487326096,73.32945487326097,73.91,21.748485759058234
2021-02-22,06:30:00,24.32,86.09,24.56,24.5,73.92375958047379,73.86375958047378,74.42,21.843776612427185
2021-02-22,06:40:00,24.53,84.74,25.06,25.0,74.40471144872257,74.34471144872256,74.62,21.790865135340468
2021-02-22,06:50:00,24.68,84.16,25.37,25.5,74.7271013899522,74.85710138995219,74.81,21.8252816387561
2021-02-22,07:00:00,25.45,80.85,25.88,26.0,75.27108964966226,75.39108964966226,75.72,21.919693471284067
2021-02-22,07:10:00,25.99,78.75,26.44,26.5,75.86476963264938,75.92476963264937,76.36,22.01324897958162
2021-02-22,07:20:00,26.69,76.11,27.44,27.5,76.90743350660969,76.9674335066097,77.15,22.13175974058247
2021-02-22,07:30:00,27.2,74.26,28.06,28.0,77.55914004017404,77.49914004017404,77.7,22.219833444927893
2021-02-22,07:40:00,27.76,71.67,28.81,28.5,78.29305157375398,77.98305157375398,78.24,22.175143260427724
2021-02-22,07:50:00,27.99,67.88,29.25,29.0,78.49184249734931,78.24184249734931,78.07,21.505118048192532
2021-02-22,08:00:00,28.61,63.38,29.5,29.5,78.55095065317249,78.55095065317249,78.37,20.974862925479123
2021-02-22,08:10:00,28.72,61.67,29.87,30.0,78.79827740456355,78.92827740456354,78.28,20.634103901565428
2021-02-22,08:20:00,28.71,61.44,29.87,30.0,78.77306291630651,78.90306291630651,78.23,20.564063656406997
2021-02-22,08:30:00,28.99,60.11,30.12,30.0,78.990020424683,78.87002042468299,78.43,20.47227895745277
2021-02-22,08:40:00,30.12,58.98,30.5,30.5,79.6401822194392,79.6401822194392,79.86,21.22272838733109
2021-02-22,08:50:00,30.25,55.12,31.81,31.5,80.59801990406831,80.2880199040683,79.43,20.244499733523075
2021-02-22,09:00:00,31.43,52.93,32.81,32.5,81.75466129727255,81.44466129727255,80.66,20.679614714645982
2021-02-22,09:10:00,31.42,52.14,32.94,33.0,81.79352964526532,81.85352964526533,80.52,20.426471236848133
2021-02-22,09:20:00,31.42,51.46,33.31,33.0,82.08700854643291,81.77700854643291,80.4,20.213912628980314
2021-02-22,09:30:00,30.81,51.14,33.31,33.5,81.84879389906001,82.03879389906001,79.54,19.55220527516667
2021-02-22,09:40:00,32.15,48.61,32.88,33.0,81.56638818749002,81.68638818749002,80.86,19.962189409694492
2021-02-22,09:50:00,32.6,46.63,34.06,33.5,82.65246575910561,82.09246575910561,81.09,19.701293775293347
2021-02-22,10:00:00,32.48,46.99,34.19,34.0,82.78781633679006,82.59781633679006,81.0,19.716156491083492
2021-02-22,10:10:00,32.13,46.8,34.0,34.0,82.45976745108779,82.45976745108779,80.52,19.332687364132738
2021-02-22,10:20:00,32.13,46.55,33.63,33.5,82.0587898965783,81.92878989657831,80.48,19.24663860160642
